partner_name,url_slug,full_url,date_scraped,partner_website,portal_detected,portal_type,portal_url,owner_portal_type,owner_portal_url,detection_method,date_portal_detected
Hendricks Property Management,hendricks,https://www.secondnature.com/property-management/hendricks,2026-03-13,http://www.sarents.com/,true,Likely: sarents.com,https://www.sarents.com/applicant-faqs,,,folder: tenants — unidentified portal,
Hendricks Real Estate,hendricks-re,https://www.secondnature.com/property-management/hendricks-re,2026-03-13,http://www.512re.com/,true,Rentvine,,,,,
Henry Property Management,henry,https://www.secondnature.com/property-management/henry,2026-03-13,http://www.henrypropertymanagement.com/,true,AppFolio,,,,,
Hero Real Estate,hero-re,https://www.secondnature.com/property-management/hero-re,2026-03-13,http://herorealestate.com/,false,Confirmed None,,,,exhaustive check — no portal found,
Hive Real Estate Group & Property Management,hive,https://www.secondnature.com/property-management/hive,2026-03-13,http://www.hiverealestatelasvegas.com/,true,Rentvine,,,,,
Holland Properties,holland-properties,https://www.secondnature.com/property-management/holland-properties,2026-03-13,http://www.hollandprop.com/,true,AppFolio,https://holland.appfolio.com/connect/users/sign_in,AppFolio,https://holland.appfolio.com/connect/users/sign_in,pay rent online (link),
Home by Choice,home-by-choice,https://www.secondnature.com/property-management/home-by-choice,2026-03-13,http://homebychoicenyc.com/,false,Confirmed None,,,,exhaustive check — no portal found,
Home Pointe Property Management,home-pointe,https://www.secondnature.com/property-management/home-pointe,2026-03-13,http://www.homepointepm.com/,true,Rentvine,,,,,
Home Rental Pros,home-rental-pros,https://www.secondnature.com/property-management/home-rental-pros,2026-03-13,http://www.homerentalpros.net/,true,AppFolio,https://www.homerentalpros.net/tenants,AppFolio,https://www.homerentalpros.net/owner-portal,tenant portal (link) via page-source,
Home Spot Rentals,home-spot,https://www.secondnature.com/property-management/home-spot,2026-03-13,http://www.hsrpm.com/,true,AppFolio,,,,,
Home Team Rentals,home-team,https://www.secondnature.com/property-management/home-team,2026-03-13,http://hometeamrentals.com/,true,AppFolio,https://hometeamrntls.appfolio.com/connect/users/sign_in?a=cw&utm_source=apmsites_v3&utm_campaign=tportal_login,,,log into your tenant portal (link),
Homebase,homebase,https://www.secondnature.com/property-management/homebase,2026-03-13,http://www.homebase.rent/,true,Rentvine,,,,,
HomeFirst Property Management,homefirst,https://www.secondnature.com/property-management/homefirst,2026-03-13,http://www.homefirstpm.com/,true,Buildium,https://homefirstpm.managebuilding.com/Resident/portal/login,Buildium,https://homefirstpm.managebuilding.com/manager/app/homepage/dashboard,tenant portal (link),
Hometown Properties of the Gulf Coast,hometown-properties-gc,https://www.secondnature.com/property-management/hometown-properties-gc,2026-03-13,http://www.hometownpropertiesgc.com/,true,Rentvine,,,,,
House2home Properties,house-2-home,https://www.secondnature.com/property-management/house-2-home,2026-03-13,http://www.ontimerents.com/,true,Rentvine,,,,,
Houselife Properties,houselife,https://www.secondnature.com/property-management/houselife,2026-03-13,http://www.houselife.us/,true,AppFolio,https://www.houselife.us/tenant-portal,AppFolio,https://www.houselife.us/owner-portal,tenant portal (link) via page-source,
HRM Apartments,hrm-apartments,https://www.secondnature.com/property-management/hrm-apartments,2026-03-13,http://www.hrmapartments.com/,true,AppFolio,http://www.hrmapartments.com/,,,page source scan,
Huneycutt Realtors,huneycutt-realtors,https://www.secondnature.com/property-management/huneycutt-realtors,2026-03-13,http://www.huneycuttrealtors.com/,true,Rentvine,,,,,
Icon Property Management,icon,https://www.secondnature.com/property-management/icon,2026-03-13,http://iconfl.com/,true,Likely: iconfl.com,https://iconfl.com/for-tenants/,,,for tenants — unidentified portal,
Innova Property Management LLC,innova,https://www.secondnature.com/property-management/innova,2026-03-13,http://www.innovapropertymanagement.com/,true,AppFolio,https://www.innovapropertymanagement.com/tenant/tenant-portal,AppFolio,https://www.innovapropertymanagement.com/owner-statement,tenant portal (link) via page-source,
Integrity Capital Management,integrity-capital,https://www.secondnature.com/property-management/integrity-capital,2026-03-13,http://tiekc.com/,true,AppFolio,https://integritycapital.appfolio.com/oportal/users/log_in,,,tenant online portal (link),
Investment Brokers Of The Ozarks,investment-brokers-ozark,https://www.secondnature.com/property-management/investment-brokers-ozark,2026-03-13,http://bransonpropertymanager.com/,false,Confirmed None,,,,exhaustive check — no portal found,
Investment Safe Property Management,investment-safe,https://www.secondnature.com/property-management/investment-safe,2026-03-13,http://www.investmentsafepropertymanagement.com/,true,AppFolio,,,,,
J&D Management,j-and-d,https://www.secondnature.com/property-management/j-and-d,2026-03-13,http://jdpropmgmt.com/,true,AppFolio,,,,,
J&E Property Management,j-and-e,https://www.secondnature.com/property-management/j-and-e,2026-03-13,http://jepropertymanagement.com/,true,AppFolio,,,,,
J & R Property Management,j-and-r,https://www.secondnature.com/property-management/j-and-r,2026-03-13,http://www.jandrpropertymanager.com/,true,AppFolio,https://www.jandrpropertymanager.com/pay-rent-online,AppFolio,https://www.jandrpropertymanager.com/owner-statement,pay rent online (link) via page-source,
J Bowen & Company,j-bowen,https://www.secondnature.com/property-management/j-bowen,2026-03-13,http://jbowencompany.com/,true,Rentvine,https://www.jbowencompany.com/tenants,,,direct path /tenants (source),
Jamison Property Management,jamison,https://www.secondnature.com/property-management/jamison,2026-03-13,http://www.jamisonpm.com/,true,AppFolio,https://www.jamisonpm.com/pay-rent-online,AppFolio,https://www.jamisonpm.com/owner-statement,pay rent online (link) via page-source,
JCM Living,jcm-living,https://www.secondnature.com/property-management/jcm-living,2026-03-13,http://jcmliving.com/,false,Confirmed None,,,,exhaustive check — no portal found,
"Just Right Property Management, LLC",just-right,https://www.secondnature.com/property-management/just-right,2026-03-13,http://justrightpm.com/,true,Buildium,https://shamrockpm.managebuilding.com/Resident/portal/login,,,tenant login (link),
JWB Property Management,jwb,https://www.secondnature.com/property-management/jwb,2026-03-13,http://www.jwbrentalhomes.com/,true,Likely: jwbcompanies.my.site.com,https://jwbcompanies.my.site.com/resident/s/login/?ec=302&startURL=%2Fresident%2Fs%2F,,,resident login — unidentified portal,
Kairos Property Management,kairos,https://www.secondnature.com/property-management/kairos,2026-03-13,http://www.rentkairos.com/,true,AppFolio,https://kairospm.appfolio.com/users/sign_in,,,property manager login (link),
Karka Properties LLC,karka-properties,https://www.secondnature.com/property-management/karka-properties,2026-03-13,http://www.kpapartments.com/,true,AppFolio,http://www.kpapartments.com/,,,page source scan,
"KB Realty Group, LLC",kb-realty-group,https://www.secondnature.com/property-management/kb-realty-group,2026-03-13,http://www.kbrealtygroup.com/,true,AppFolio,https://www.kbrealtygroup.com/residents,,,resident portal (link) via page-source,
Key Realty Center,key-realty-center,https://www.secondnature.com/property-management/key-realty-center,2026-03-13,http://keyrealtycenterpm.com/,true,AppFolio,,,,,
"Key Rents, LLC",key-rents,https://www.secondnature.com/property-management/key-rents,2026-03-13,http://mykeyrents.com/,true,Rent Manager,https://keyrent.twa.rentmanager.com/,Rent Manager,https://keyrent.owa.rentmanager.com/,tenant portal (link),
Keyfinders Realty,keyfinders-realty,https://www.secondnature.com/property-management/keyfinders-realty,2026-03-13,http://keyfindersbr.com/,true,AppFolio,,,,,
Keyrenter Ashburn Property Management,keyrenter-ashburn,https://www.secondnature.com/property-management/keyrenter-ashburn,2026-03-13,http://www.keyrenterashburn.com/,true,AppFolio,,,,,
Keyrenter Newport Beach Property Management,keyrenter-newport-beach,https://www.secondnature.com/property-management/keyrenter-newport-beach,2026-03-13,http://www.keyrenternewportbeach.com/,true,AppFolio,,,,,
Keyrenter Property Management - Silicon Valley,keyrenter-silicon-valley,https://www.secondnature.com/property-management/keyrenter-silicon-valley,2026-03-13,http://www.keyrentersiliconvalley.com/,true,AppFolio,,,,,
Keyrenter Upstate Property Management,keyrenter-upstate,https://www.secondnature.com/property-management/keyrenter-upstate,2026-03-13,http://keyrenterupstate.com/,true,AppFolio,,,,,
Kikumoto Real Estate,kikumoto,https://www.secondnature.com/property-management/kikumoto,2026-03-13,http://www.kikumotorealestate.com/,true,AppFolio,,,,,
Kilpelainen Property Management,kilpelainen,https://www.secondnature.com/property-management/kilpelainen,2026-03-13,http://kilpelainenpropertymanagement.com/,true,AppFolio,https://kilpelainenpropertymanagement.com/tenants/,,,direct path /tenants (content),
Keyrenter Property Management - Alexandria,kpm-alexandria,https://www.secondnature.com/property-management/kpm-alexandria,2026-03-13,http://www.keyrenteralexandria.com/,true,AppFolio,,,,,
Keyrenter Property Management - Annapolis,kpm-annapolis,https://www.secondnature.com/property-management/kpm-annapolis,2026-03-13,http://www.keyrenterannapolis.com/,true,AppFolio,,,,,
Keyrenter Property Management - Boise,kpm-boise,https://www.secondnature.com/property-management/kpm-boise,2026-03-13,http://keyrenterboise.com/,true,AppFolio,,,,,
Keyrenter Property Management - BuxMont,kpm-buxmont,https://www.secondnature.com/property-management/kpm-buxmont,2026-03-13,http://www.keyrenterbuxmont.com/,true,AppFolio,,,,,
Keyrenter Property Management - Charleston,kpm-charleston,https://www.secondnature.com/property-management/kpm-charleston,2026-03-13,http://keyrentercharleston.com/,true,AppFolio,,,,,
Keyrenter Property Management - Chester,kpm-chester,https://www.secondnature.com/property-management/kpm-chester,2026-03-13,http://www.keyrenterchester.com/,true,AppFolio,,,,,
Keyrenter Property Management - Chicago,kpm-chicago,https://www.secondnature.com/property-management/kpm-chicago,2026-03-13,http://www.keyrenterchicagonorth.com/,true,AppFolio,,,,,
Keyrenter Property Management - Denver,kpm-denver,https://www.secondnature.com/property-management/kpm-denver,2026-03-13,http://keyrenterdenver.com/,true,AppFolio,https://keyrenter016.appfolio.com/connect/users/sign_in,AppFolio,https://keyrenter016.appfolio.com/oportal/users/log_in,tenant portal (link),
Keyrenter Property Management - Folsom,kpm-folsom,https://www.secondnature.com/property-management/kpm-folsom,2026-03-13,http://keyrenterfolsom.com/,true,AppFolio,,,,,
Keyrenter Property Management - Fort Myers,kpm-fort-myers,https://www.secondnature.com/property-management/kpm-fort-myers,2026-03-13,http://keyrenterfortmyers.com/,true,AppFolio,,,,,
Keyrenter Property Management - Gilbert,kpm-gilbert,https://www.secondnature.com/property-management/kpm-gilbert,2026-03-13,http://keyrentergilbert.com/,true,AppFolio,,,,,
Keyrenter Property Management - Hampton Roads,kpm-hampton-roads,https://www.secondnature.com/property-management/kpm-hampton-roads,2026-03-13,http://www.keyrenterhamptonroads.com/,true,AppFolio,,,,,
Keyrenter Property Management - Highlands Ranch,kpm-highlands-ranch,https://www.secondnature.com/property-management/kpm-highlands-ranch,2026-03-13,http://www.keyrenterhighlandsranch.com/,true,AppFolio,,,,,
Keyrenter Property Management - Houston,kpm-houston,https://www.secondnature.com/property-management/kpm-houston,2026-03-13,http://www.keyrenterhouston.com/,true,AppFolio,,,,,
Keyrenter Property Management - Jacksonville,kpm-jacksonville,https://www.secondnature.com/property-management/kpm-jacksonville,2026-03-13,http://www.keyrenterjacksonville.com/,true,AppFolio,,,,,
Keyrenter Property Management - Knoxville,kpm-knoxville,https://www.secondnature.com/property-management/kpm-knoxville,2026-03-13,http://www.keyrenterknoxville.com/,true,AppFolio,,,,,
Keyrenter Property Management - McAllen,kpm-mcallen,https://www.secondnature.com/property-management/kpm-mcallen,2026-03-13,http://www.keyrentermcallen.com/,true,AppFolio,,,,,
Keyrenter Property Management - Metro,kpm-metro,https://www.secondnature.com/property-management/kpm-metro,2026-03-13,http://www.keyrentermetro.com/,true,AppFolio,,,,,
Keyrenter Property Management - New England,kpm-new-england,https://www.secondnature.com/property-management/kpm-new-england,2026-03-13,http://keyrenternewengland.com/,true,AppFolio,,,,,
Keyrenter Property Management - North Dallas,kpm-north-dallas,https://www.secondnature.com/property-management/kpm-north-dallas,2026-03-13,http://keyrenternorthdallas.com/,true,AppFolio,,,,,
Keyrenter Property Management - North Fort Worth,kpm-north-fort-worth,https://www.secondnature.com/property-management/kpm-north-fort-worth,2026-03-13,http://keyrenternorthfortworth.com/,true,AppFolio,,,,,
Keyrenter Property Management - North Jersey,kpm-north-jersey,https://www.secondnature.com/property-management/kpm-north-jersey,2026-03-13,http://keyrenternorthjersey.com/,true,AppFolio,,,,,
Keyrenter Property Management - Northwest Chicago,kpm-nw-chicago,https://www.secondnature.com/property-management/kpm-nw-chicago,2026-03-13,http://www.keyrenternorthwestchicago.com/,true,AppFolio,,,,,
KeyRenter Property Management - Premier,kpm-premier,https://www.secondnature.com/property-management/kpm-premier,2026-03-13,http://keyrenterpremier.com/,true,AppFolio,,,,,
Keyrenter Property Management - Raleigh,kpm-raleigh,https://www.secondnature.com/property-management/kpm-raleigh,2026-03-13,http://www.keyrenterraleigh.com/,true,AppFolio,,,,,
Keyrenter Property Management - Richmond,kpm-richmond,https://www.secondnature.com/property-management/kpm-richmond,2026-03-13,http://keyrenterrichmond.com/,true,AppFolio,https://keyrenterrichmond.com/rental-home-owners/,,,direct path /owners (source),
Keyrenter Property Management - Sacramento,kpm-sacramento,https://www.secondnature.com/property-management/kpm-sacramento,2026-03-13,http://www.keyrentersacramento.com/,true,AppFolio,,,,,
Keyrenter Property Management - San Diego,kpm-san-diego,https://www.secondnature.com/property-management/kpm-san-diego,2026-03-13,http://keyrentersandiego.com/,true,AppFolio,,,,,
Keyrenter Property Management - Sarasota,kpm-sarasota,https://www.secondnature.com/property-management/kpm-sarasota,2026-03-13,http://www.keyrentersarasota.com/,true,AppFolio,,,,,
Keyrenter Property Management - South Florida,kpm-south-florida,https://www.secondnature.com/property-management/kpm-south-florida,2026-03-13,http://www.keyrentersouthflorida.com/,true,AppFolio,,,,,
Keyrenter Property Management - St. George,kpm-st-george,https://www.secondnature.com/property-management/kpm-st-george,2026-03-13,http://www.keyrenterstgeorge.com/,true,AppFolio,,,,,
Keyrenter Property Management - St. Louis West,kpm-stlouis-west,https://www.secondnature.com/property-management/kpm-stlouis-west,2026-03-13,http://keyrenterstlwest.com/,true,AppFolio,,,,,
Keyrenter Property Management - St. Pete,kpm-stpete,https://www.secondnature.com/property-management/kpm-stpete,2026-03-13,http://www.keyrenterstpete.com/,true,AppFolio,,,,,
Keyrenter Property Management - Uptown Dallas,kpm-uptown-dallas,https://www.secondnature.com/property-management/kpm-uptown-dallas,2026-03-13,http://www.keyrenteruptowndallas.com/,true,AppFolio,,,,,
Kremer Realty Inc. Property Management Division,kremer-realty,https://www.secondnature.com/property-management/kremer-realty,2026-03-13,http://kremerrealty.com/,false,Confirmed None,,,,exhaustive check — no portal found,
Krystle Properties,krystle-properties,https://www.secondnature.com/property-management/krystle-properties,2026-03-13,http://www.krystleproperties.com/,true,AppFolio,,,,,
Kunkel Wittenauer Group,kunkel-wittenauer,https://www.secondnature.com/property-management/kunkel-wittenauer,2026-03-13,http://choosekwg.com/,true,Rent Manager,https://kunkel.twa.rentmanager.com/,,,resident login (link),
Los Angeles Property Management Group,la-pmg,https://www.secondnature.com/property-management/la-pmg,2026-03-13,http://www.losangelespropertymanagementgroup.com/,true,AppFolio,https://lapmg.appfolio.com/connect/users/sign_in,,,tenant login (link),
Lake Michigan Property Management,lake-michigan,https://www.secondnature.com/property-management/lake-michigan,2026-03-13,http://lmpmc.com/,true,Rentvine,,,,,
Large Vision Property Management,large-vision,https://www.secondnature.com/property-management/large-vision,2026-03-13,http://homefinderlv.com/,true,AppFolio,https://www.homefinderlv.com/#,,,log in (link) via page-source,
Charles W. Lasserre Real Estate,lasserre,https://www.secondnature.com/property-management/lasserre,2026-03-13,http://www.lasserrerealestate.net/,false,Error,,,,site unreachable,
LB Property Management,lb,https://www.secondnature.com/property-management/lb,2026-03-13,http://www.lbpm.com/,true,AppFolio,https://lbpm.appfolio.com/connect/users/sign_in,AppFolio,https://lbpm.appfolio.com/connect/users/sign_in,pay rent (link),
Leeson Real Estate Investment Firm,leeson-rei,https://www.secondnature.com/property-management/leeson-rei,2026-03-13,http://www.leesonrealestateinvestment.com/,true,AppFolio,,,,,
Legacy Realty Group North Florida,legacy-realty,https://www.secondnature.com/property-management/legacy-realty,2026-03-13,http://legacyrealtygroupnorthflorida.com/,true,Rentvine,https://legacyrealtygroupnorthflorida.com/apply,,,apply (link) (content match),
Liberty Property Management,liberty,https://www.secondnature.com/property-management/liberty,2026-03-13,http://libertypropertymanagement.com/,true,Yardi,https://www.securecafe3.com/newtenantportal/content2/login/?companyId=1,,,pay rent online (link) (content match),
Limehouse Property Management,limehouse,https://www.secondnature.com/property-management/limehouse,2026-03-13,,false,Confirmed None,,,,no website found,
Link Property Management,link,https://www.secondnature.com/property-management/link,2026-03-13,http://lpmteam.com/,true,AppFolio,http://lpmteam.com/,,,page source scan,
LIV Indy,liv-indy,https://www.secondnature.com/property-management/liv-indy,2026-03-13,,false,Confirmed None,,,,no website found,
Living Management,living-management,https://www.secondnature.com/property-management/living-management,2026-03-13,http://www.livingny.com/management/,true,ClickPay,http://www.clickpay.com/livingmgmt,,,make a payment (link),
Locator Property Management,locator,https://www.secondnature.com/property-management/locator,2026-03-13,http://locatorpm.com/,true,AppFolio,https://www.locatorpropertymanagement.com/tenant-portal,AppFolio,https://www.locatorpropertymanagement.com/owner-statement,tenant portal (link) via page-source,
Lombard Equities,lombard-equities,https://www.secondnature.com/property-management/lombard-equities,2026-03-13,https://www.lombardequities.com/,false,Confirmed None,,,,exhaustive check — no portal found,
"Lone Star Realty and Property Management, Inc.",lone-star,https://www.secondnature.com/property-management/lone-star,2026-03-13,http://www.lonestarrealty.net/,true,AppFolio,https://passport.appf.io/sign_in?idp_type=tportal&vhostless=true,,,tenant portal (link) via page-source,
Longmont Property Group,longmont,https://www.secondnature.com/property-management/longmont,2026-03-13,http://www.longmontproperty.com/,true,Rentvine,,,,,
Longstep Property Solutions,longstep,https://www.secondnature.com/property-management/longstep,2026-03-13,http://staywithlps.com/,true,AppFolio,https://www.staywithlps.com/resident-portal,AppFolio,https://www.staywithlps.com/owners,resident portal (link) via page-source,
Lyon Property Group,lyon,https://www.secondnature.com/property-management/lyon,2026-03-13,https://www.golyonpm.com/,true,AppFolio,https://www.windermerecapm.com/residents,,,tenant login (link) via page-source,
Madsen Properties,madsen-properties,https://www.secondnature.com/property-management/madsen-properties,2026-03-13,http://madsenpropertymgmt.com/,true,Buildium,https://madsenpropertieschico.managebuilding.com/Manager/PublicPages/Login.aspx?ReturnUrl=%2fmanager%2f,,,owner login (link),
Main Street Properties,main-street-prop,https://www.secondnature.com/property-management/main-street-prop,2026-03-13,http://www.forrentpensacola.com/,true,Rent Manager,https://ogcp.twa.rentmanager.com/,Rent Manager,https://ogcp.twa.rentmanager.com/,tenant login (link),
Mainstay Rentals,mainstay-rentals,https://www.secondnature.com/property-management/mainstay-rentals,2026-03-13,http://www.mainstaystr.com/,false,Confirmed None,,,,exhaustive check — no portal found,
Makita Home LLC,makita-home,https://www.secondnature.com/property-management/makita-home,2026-03-13,http://makitarentals.com/,false,Confirmed None,,,,exhaustive check — no portal found,
Manna Rentals,manna-rentals,https://www.secondnature.com/property-management/manna-rentals,2026-03-13,http://mannarentals.com/,true,Buildium,https://mannarentals.com/apply/,,,apply (link) (content match),
Maples Property Management,maples,https://www.secondnature.com/property-management/maples,2026-03-13,http://maplesrentals.com/,true,Propertyware,http://maplesrentals.com/,,,page source scan,
Marie Hansen Properties,marie-hansen,https://www.secondnature.com/property-management/marie-hansen,2026-03-13,http://mariehansenproperties.com/,true,AppFolio,https://mariehansen.appfolio.com/connect/users/sign_in,,,tenant login (link),
Mark Brower Properties,mark-brower,https://www.secondnature.com/property-management/mark-brower,2026-03-13,http://www.markrent.com/,true,Rentvine,,,,,
Market Solutions Property Management,market-solutions,https://www.secondnature.com/property-management/market-solutions,2026-03-13,http://www.allohiomanagement.com/,true,Rent Manager,https://kwcr.twa.rentmanager.com/,,,online portals (link),
Maryland Property Management,maryland,https://www.secondnature.com/property-management/maryland,2026-03-13,http://www.propertymgtmd.com/,true,Buildium,https://propertymgtmd.managebuilding.com/Resident/portal/login,Buildium,https://propertymgtmd.managebuilding.com/manager,tenant portal (link),
MasterKey Property Management,masterkey,https://www.secondnature.com/property-management/masterkey,2026-03-13,http://www.masterkeypm.com/,true,AppFolio,,,,,
McCaw Property Management,mccaw,https://www.secondnature.com/property-management/mccaw,2026-03-13,http://mccawpropertymanagement.com/,true,AppFolio,,,,,
McIntire Real Estate,mcintire-re,https://www.secondnature.com/property-management/mcintire-re,2026-03-13,http://www.mcintirekingstone.com/,true,AppFolio,https://mcintirekingstone.com/tenants,,,direct path /tenants (content),
McWright Property Management,mcwright,https://www.secondnature.com/property-management/mcwright,2026-03-13,http://www.propertymanagementinjacksonville.com/,true,Rentvine,,,,,
McWright Property Management,McWright-Property-Management,https://www.secondnature.com/property-management/McWright-Property-Management,2026-03-13,http://www.propertymanagementinjacksonville.com/,true,Rentvine,,,,,
Merchant Property Management,merchant,https://www.secondnature.com/property-management/merchant,2026-03-13,http://mpmsd.com/Home/index,true,AppFolio,,,,,
Meridian Residential Group,meridian-residential-group,https://www.secondnature.com/property-management/meridian-residential-group,2026-03-13,http://meridianresidentialgroup.com/,true,AppFolio,,,,,
Merrilyn Hall Realty,merrilyn-hall,https://www.secondnature.com/property-management/merrilyn-hall,2026-03-13,http://mhallrealty.com/,true,Rent Manager,https://www.mhrhome.com/apply-now,,,apply now (link) (content match),
MH Properties,mh-properties,https://www.secondnature.com/property-management/mh-properties,2026-03-13,http://mhpropertymgmt.com/,true,AppFolio,https://www.mhpropertymgmt.com/tenant/tenant-portal,AppFolio,https://www.mhpropertymgmt.com/owner/owner-statement,tenant portal (link) via page-source,
Mia Madison Properties,mia-madison,https://www.secondnature.com/property-management/mia-madison,2026-03-13,http://miamadisonmanagement.com/,true,Likely: miamadisonrealtygroup.idxbroker.com,https://miamadisonrealtygroup.idxbroker.com/idx/userlogin,,,login/register — unidentified portal,
MIDCITI Property Management,midciti,https://www.secondnature.com/property-management/midciti,2026-03-13,http://www.midcitipm.com/,true,AppFolio,https://sasnbtxllc.appfolio.com/connect/users/sign_in?portfolio_uuid=9f0ad72d-f7a9-11f0-87c2-06d64c3d8bfe,,,tenant login (link),
Midsouth Home Rentals,midsouth-home,https://www.secondnature.com/property-management/midsouth-home,2026-03-13,http://www.rentmsh.com/,true,Rentvine,,,,,
MidSouth Modest Property Management,midsouth-modest,https://www.secondnature.com/property-management/midsouth-modest,2026-03-13,http://midsouthmodest.com/,true,AppFolio,https://midsouthmodest.appfolio.com/connect/users/sign_in,AppFolio,https://midsouthmodest.appfolio.com/oportal/users/log_in,residents (link),
PMI Mile High,milehigh,https://www.secondnature.com/property-management/milehigh,2026-03-13,http://www.pmimilehigh.com/,false,Error,,,,site unreachable,
Mission Realty Property Management,mission-realty,https://www.secondnature.com/property-management/mission-realty,2026-03-13,http://rentingrichmond.com/,true,AppFolio,https://thegitsgroup.appfolio.com/oportal/users/log_in,,,login (link),
Missoula Property Management,missoula,https://www.secondnature.com/property-management/missoula,2026-03-13,http://rentinmissoula.com/,true,Rent Manager,https://missoula.twa.rentmanager.com/,,,tenant portal (link),
MJ Properties,mj,https://www.secondnature.com/property-management/mj,2026-03-13,http://www.mj.properties/,true,AppFolio,https://www.mj.properties/tenant-portal,AppFolio,https://www.mj.properties/owner-statement,tenant portal (link) via page-source,
Moore Team Rentals,moore-team-rentals,https://www.secondnature.com/property-management/moore-team-rentals,2026-03-13,http://www.mooreteamrentals.com/,true,AppFolio,http://www.mooreteamrentals.com/,,,page source scan,
Morgan Property Management,morgan,https://www.secondnature.com/property-management/morgan,2026-03-13,http://www.morganpm.com/,true,AppFolio,https://www.morganpm.com/tenant-portal,AppFolio,https://www.morganpm.com/owner-statement,tenant portal (link) via page-source,
Mountain Heights Property Management,mountain-heights,https://www.secondnature.com/property-management/mountain-heights,2026-03-13,http://mountainheightspropertymanagement.com/,true,Buildium,https://mountainheightspropertymanagement.com/tenants/pay-rent/,Buildium,https://mountainheightspropertymanagement.com/tenants/pay-rent/,pay rent (link) (content match),
MTL Properties,mtl,https://www.secondnature.com/property-management/mtl,2026-03-13,http://cloverhillpropertymanagement.com/,true,Buildium,https://cloverhillpropertymanagement.com/tenants/pay-rent/,,,pay rent (link) via page-source,
Muddy River Properties,muddy-river,https://www.secondnature.com/property-management/muddy-river,2026-03-13,http://mrp4rent.com/,true,AppFolio,http://mrp4rent.com/,,,page source scan,
Narrow Path Property Management,narrow-path,https://www.secondnature.com/property-management/narrow-path,2026-03-13,http://narrowpathpm.com/,true,Buildium,https://narrowpath.managebuilding.com/Resident/portal/login,Buildium,https://narrowpath.managebuilding.com/manager/public/authentication/login,tenant portal (link),
Nashdom Realty,nashdom-realty,https://www.secondnature.com/property-management/nashdom-realty,2026-03-13,http://nashdomrealty.com/,true,Rentvine,,,,,
Neighborhood Realty Company,neighborhood-realty,https://www.secondnature.com/property-management/neighborhood-realty,2026-03-13,http://ynrhomes.com/,true,Likely: ynrhomes.com,https://www.ynrhomes.com/organizer/saved/searches/64656,,,login/signup — unidentified portal,
Nelson Property Management,nelson,https://www.secondnature.com/property-management/nelson,2026-03-13,http://nelsonpropertymanagement.com/,true,Rentvine,,,,,
New Beginnings Real Estate,new-beginnings,https://www.secondnature.com/property-management/new-beginnings,2026-03-13,http://www.nbrepropertymanagement.com/,true,Rentvine,,,,,
New Day Property Managers,new-day,https://www.secondnature.com/property-management/new-day,2026-03-13,http://www.newdaypropertymanagers.com/,true,AppFolio,http://www.newdaypropertymanagers.com/,,,page source scan,
New Heights Realty,new-heights-realty,https://www.secondnature.com/property-management/new-heights-realty,2026-03-13,http://newheightsmgmt.com/,true,Likely: newheightsmgmt.com,https://newheightsmgmt.com/m/login?r=%2Fm%2Faccount,,,sign in — unidentified portal,2026-04-20
New Start Property Management,new-start,https://www.secondnature.com/property-management/new-start,2026-03-13,http://newstartpropertymanagement.com/,true,AppFolio,http://newstartpropertymanagement.com/,,,page source scan,
Newshire Property Management,newshire,https://www.secondnature.com/property-management/newshire,2026-03-13,http://newshirepm.com/,true,AppFolio,,,,,
Next Generation Property Management,next-generation,https://www.secondnature.com/property-management/next-generation,2026-03-13,http://nextgenpm.net/,true,AppFolio,https://www.nextgenpm.net/residents-portal,AppFolio,https://www.nextgenpm.net/owners,resident portal (link) via page-source,
NextHome Tropicana Realty,nexthome-tropicana,https://www.secondnature.com/property-management/nexthome-tropicana,2026-03-13,http://www.tropicanarealty.com/,true,AppFolio,https://tropicana.appfolio.com/connect/users/sign_in?a=cw&utm_source=apmsites_v2&utm_campaign=tportal_login,AppFolio,https://www.tropicanarealty.com/owner-portal,pay rent online (link),
Nido Management,nido,https://www.secondnature.com/property-management/nido,2026-03-13,http://nidomgt.com/,true,AppFolio,,,,,
Niguel Point Properties,niguelpoint,https://www.secondnature.com/property-management/niguelpoint,2026-03-13,http://www.niguelpointpropertiespm.com/,true,AppFolio,http://www.niguelpointpropertiespm.com/,,,page source scan,
North Pacific Properties,north-pacific,https://www.secondnature.com/property-management/north-pacific,2026-03-13,http://northpacificpropertymanagement.com/,true,AppFolio,,,,,
Northern Pass Properties,northern-pass,https://www.secondnature.com/property-management/northern-pass,2026-03-13,http://www.nppelpaso.com/,true,AppFolio,,,,,
ODP Property Management,odp,https://www.secondnature.com/property-management/odp,2026-03-13,https://www.rentodp.com/,true,AppFolio,,,,,
Olive & CO Property Management,olive-and-co,https://www.secondnature.com/property-management/olive-and-co,2026-03-13,http://www.olivecopropertymanagement.com/,true,Rentvine,,,,,
O'Malley Real Estate,omalley,https://www.secondnature.com/property-management/omalley,2026-03-13,http://www.omalleyrealestate.com/,true,Likely: omalleyrealestate.com,https://www.omalleyrealestate.com/login.php?login=1,,,login — unidentified portal,2026-05-18
Omega Realty Group,omega-rg,https://www.secondnature.com/property-management/omega-rg,2026-03-13,http://www.omegarealtyrentals.com/,true,Propertyware,https://app.propertyware.com/pw/portals/omegarealtyrentals/tenant.action,,,resident portal (link),
